Land;type;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Baden-Wurttemberg;male;60680;60363;60600;60594;58497;57878;58903;59724;57010;55794;54399;52142;51404;50545;49715;48279;47091;47382;46997;45864;46578;45425;45863;47047;49271;50981;55194;55015;55695;55928;55755;57765;53707
Baden-Wurttemberg;female;57899;57165;56959;57388;54901;54581;55754;56695;54046;52179;51783;49224;48200;47051;46940;46000;44864;45441;44912;43814;44117;43398;43614;44458;46361;49288;52293;52360;53224;53057;52269;55769;50843
Baden-Wurttemberg;total;118579;117528;117559;117982;113398;112459;114657;116419;111056;107973;106182;101366;99604;97596;96655;94279;91955;92823;91909;89678;90695;88823;89477;91505;95632;100269;107487;107375;108919;108985;108024;113534;104550
Bayern;male;69950;69297;68396;68762;65808;64625;66592;66876;65047;63715;61673;59813;58264;57071;56680;55146;53893;54640;54603;53312;53769;53480;55138;55913;58695;60511;64503;64294;65272;65760;65932;68881;64004
Bayern;female;66172;65103;65550;65135;62020;61370;62784;63641;61482;59529;59092;56151;55554;54465;54484;52162;50929;52230;51695;50398;51482;50188;51901;53649;55240;57717;61183;61893;62344;62467;62832;65440;60909
Bayern;total;136122;134400;133946;133897;127828;125995;129376;130517;126529;123244;120765;115964;113818;111536;111164;107308;104822;106870;106298;103710;105251;103668;107039;109562;113935;118228;125686;126187;127616;128227;128764;134321;124913
Berlin;male;19351;15682;15379;14715;14828;14781;15335;15697;15183;15212;15202;14634;14790;14748;15203;14941;15108;16135;16483;16394;17090;17052;17898;18045;19021;19614;20995;20723;20612;20348;19900;20176;18484
Berlin;female;18245;14880;14288;14009;13675;13867;14570;14672;14429;14644;14493;13990;14011;13975;14243;14035;14519;15039;15453;15710;16303;16023;16780;16993;18347;18416;20091;19437;19591;19155;18793;18992;17247
Berlin;total;37596;30562;29667;28724;28503;28648;29905;30369;29612;29856;29695;28624;28801;28723;29446;28976;29627;31174;31936;32104;33393;33075;34678;35038;37368;38030;41086;40160;40203;39503;38693;39168;35731
Brandenburg;male;15078;8680;6944;6360;6363;6905;7852;8365;8836;9145;9461;9075;9167;9276;9259;9125;9258;9547;9560;9534;9831;9291;9418;9399;9957;9900;10747;10411;10265;9956;9811;9759;8978
Brandenburg;female;14160;8535;6525;5878;6080;6589;7288;8005;8310;8783;8983;8617;8537;8694;8889;8785;8625;9042;9248;9003;9123;8988;9064;8956;9382;9212;10187;9926;9616;9373;9187;9270;8461
Brandenburg;total;29238;17215;13469;12238;12443;13494;15140;16370;17146;17928;18444;17692;17704;17970;18148;17910;17883;18589;18808;18537;18954;18279;18482;18355;19339;19112;20934;20337;19881;19329;18998;19029;17439
Bremen;male;3588;3505;3491;3476;3240;3245;3474;3420;3258;3091;3120;2982;2853;2837;2814;2894;2903;2865;2825;2837;2874;2800;2874;2954;3244;3341;3683;3615;3655;3788;3540;3589;3473
Bremen;female;3307;3284;3266;3180;3048;3184;3149;3224;3102;3005;2950;2849;2631;2740;2628;2595;2603;2726;2744;2644;2725;2588;2765;2795;2967;3168;3453;3385;3508;3361;3428;3382;3247
Bremen;total;6895;6789;6757;6656;6288;6429;6623;6644;6360;6096;6070;5831;5484;5577;5442;5489;5506;5591;5569;5481;5599;5388;5639;5749;6211;6509;7136;7000;7163;7149;6968;6971;6720
Hamburg;male;8689;8497;8448;8300;8338;8182;8605;8715;8228;8226;8326;8082;8045;8224;8266;8233;8344;8636;8583;8657;8923;8763;9195;9226;9673;10116;10912;10901;10911;10674;10556;10760;9781
Hamburg;female;8004;8006;8049;7957;7863;7690;7989;8255;8007;7808;7833;7704;7662;7692;7837;7946;7745;8091;8168;8122;8454;8362;8511;8911;9366;9652;10568;10232;10215;10266;9875;10258;9272
Hamburg;total;16693;16503;16497;16257;16201;15872;16594;16970;16235;16034;16159;15786;15707;15916;16103;16179;16089;16727;16751;16779;17377;17125;17706;18137;19039;19768;21480;21133;21126;20940;20431;21018;19053
Hessen;male;31815;31426;31213;31583;31008;30826;32090;32434;31087;30322;30113;29008;28457;27776;27840;27315;26225;27095;26525;26083;26392;26366;26545;26626;27817;29308;30981;31240;31347;30947;30520;31854;29343
Hessen;female;30211;29898;29933;30027;29557;29032;30301;30690;29480;28674;28704;27220;26867;26624;26492;26054;25179;25521;25227;24661;25350;25113;25062;25559;26814;27581;29750;29748;29665;29115;28869;29692;28017
Hessen;total;62026;61324;61146;61610;60565;59858;62391;63124;60567;58996;58817;56228;55324;54400;54332;53369;51404;52616;51752;50744;51742;51479;51607;52185;54631;56889;60731;60988;61012;60062;59389;61546;57360
Mecklenburg-Vorpommern;male;11951;6927;5567;4905;4622;5086;5733;6264;6212;6466;6825;6644;6433;6502;6664;6244;6470;6561;6637;6558;6803;6494;6491;6427;6545;6761;6832;6669;6682;6494;6256;6036;5548
Mecklenburg-Vorpommern;female;11552;6708;5308;4527;4312;4792;5355;5782;6034;6123;6494;6324;6071;6280;6381;6113;6168;6225;6461;6456;6534;6144;6224;6133;6285;6537;6610;6412;6350;6136;5805;5809;5273
Mecklenburg-Vorpommern;total;23503;13635;10875;9432;8934;9878;11088;12046;12246;12589;13319;12968;12504;12782;13045;12357;12638;12786;13098;13014;13337;12638;12715;12560;12830;13298;13442;13081;13032;12630;12061;11845;10821
Niedersachsen;male;42505;42795;42746;43430;41926;41511;43132;43866;42246;41429;40943;38461;37444;36105;35914;34281;33656;33689;33209;32075;32469;31440;31562;32179;34277;34710;38471;37205;37922;37525;38075;39348;36563
Niedersachsen;female;39947;40327;40923;41149;39594;39483;40523;42041;39961;39054;38493;36778;35749;34458;34457;32712;31671;31637;31678;30153;30661;29840;29916;30700;32129;32473;36744;35815;35730;35761;36044;37093;34727
Niedersachsen;total;82452;83122;83669;84579;81520;80994;83655;85907;82207;80483;79436;75239;73193;70563;70371;66993;65327;65326;64887;62228;63130;61280;61478;62879;66406;67183;75215;73020;73652;73286;74119;76441;71290
Nordrhein-Westfalen;male;102383;101686;101288;99456;95599;93399;96625;97900;93731;90504;90030;86250;84012;82242;81168;79082;76863;77579;77027;74225;75642;73255;74607;75384;79549;82428;88627;88663;88953;87508;87540;90228;84461
Nordrhein-Westfalen;female;96911;96750;95611;94700;90480;88994;91868;92486;88556;86074;85114;81502;79422;77641;76886;74290;73062;73589;72980;70804;71691;69842;71148;71033;75553;78040;84647;83316;84197;82883;82498;85158;80043
Nordrhein-Westfalen;total;199294;198436;196899;194156;186079;182393;188493;190386;182287;176578;175144;167752;163434;159883;158054;153372;149925;151168;150007;145029;147333;143097;145755;146417;155102;160468;173274;171979;173150;170391;170038;175386;164504
Rheinland-Pfalz;male;21961;21578;21605;21894;20802;20323;21201;21387;20244;19541;19309;18515;17792;17525;17349;16716;16404;16801;16524;15868;16189;15923;16009;16371;17112;17912;19374;19419;19327;19020;19243;19796;18824
Rheinland-Pfalz;female;20771;20733;21117;20397;19737;19361;19725;20290;19395;18649;18517;17266;16949;16558;16072;15876;15351;15735;15699;15013;15385;15158;15160;15618;16315;17034;18144;18024;18320;18153;18389;18851;17910
Rheinland-Pfalz;total;42732;42311;42722;42291;40539;39684;40926;41677;39639;38190;37826;35781;34741;34083;33421;32592;31755;32536;32223;30881;31574;31081;31169;31989;33427;34946;37518;37443;37647;37173;37632;38647;36734
Saarland;male;5803;5759;5578;5473;5134;4953;5083;5086;4674;4493;4522;4223;4056;3906;3971;3841;3807;3723;3717;3527;3553;3678;3509;3552;3756;3957;4103;4266;4228;4111;4210;4227;3960
Saarland;female;5407;5293;5376;5180;4894;4774;4893;4901;4437;4448;4261;3973;3823;3692;3689;3643;3415;3551;3441;3400;3513;3410;3369;3296;3572;3554;4112;4047;3921;3895;3945;4112;3854
Saarland;total;11210;11052;10954;10653;10028;9727;9976;9987;9111;8941;8783;8196;7879;7598;7660;7484;7222;7274;7158;6927;7066;7088;6878;6848;7328;7511;8215;8313;8149;8006;8155;8339;7814
Sachsen;male;25507;16096;12968;12103;11710;12288;13792;14819;15467;16115;17003;16488;16003;16261;16920;16639;16737;17424;17658;17607;17920;17688;17750;18043;18344;18783;19417;18807;18440;17660;17129;16760;15024
Sachsen;female;24165;15182;12330;11320;11024;11716;13214;14189;14723;15268;16136;15455;15515;15818;16124;15942;15819;16434;16753;16486;17171;16735;16936;16757;17591;17683;18523;18026;17450;16831;16254;15788;14310
Sachsen;total;49672;31278;25298;23423;22734;24004;27006;29008;30190;31383;33139;31943;31518;32079;33044;32581;32556;33858;34411;34093;35091;34423;34686;34800;35935;36466;37940;36833;35890;34491;33383;32548;29334
Sachsen-Anhalt;male;16486;9963;8446;7503;7327;7529;8326;8955;8969;9426;9716;9313;9113;8696;9012;8674;8838;8942;9079;8853;8802;8658;8599;8542;8816;8841;9335;9183;8872;8529;8280;8306;7401
Sachsen-Anhalt;female;15351;9496;7838;7107;6953;7039;7826;8239;8544;8750;9007;8760;8504;8193;8325;8492;8089;8445;8618;8291;8498;8179;8289;8255;8248;8574;8757;8654;8538;8089;7833;7718;7106
Sachsen-Anhalt;total;31837;19459;16284;14610;14280;14568;16152;17194;17513;18176;18723;18073;17617;16889;17337;17166;16927;17387;17697;17144;17300;16837;16888;16797;17064;17415;18092;17837;17410;16618;16113;16024;14507
Schleswig-Holstein;male;14936;14930;14712;14720;14182;14035;14714;15085;14232;14040;13712;13082;12746;12446;12416;11779;11727;11895;11554;11306;11502;10868;11336;11170;11589;12097;12957;12845;12924;12663;12411;13051;12299
Schleswig-Holstein;female;14110;14005;14045;13912;13360;13395;14052;13995;13497;13311;13208;12599;12169;11769;11674;11248;10959;11066;11124;10617;11076;10463;10669;10652;11204;11452;12463;12221;12312;11990;11974;12247;11655
Schleswig-Holstein;total;29046;28935;28757;28632;27542;27430;28766;29080;27729;27351;26920;25681;24915;24215;24090;23027;22686;22961;22678;21923;22578;21331;22005;21822;22793;23549;25420;25066;25236;24653;24385;25298;23954
Thuringen;male;14696;8914;7426;6797;6485;7163;7756;8413;8441;8777;8969;8874;8698;8549;8826;8568;8492;8925;8881;8549;8900;8718;8835;8942;9169;9218;9454;9254;8947;8381;8227;7938;7280
Thuringen;female;14084;8556;7189;6510;6236;6625;7509;8062;8166;8149;8608;8477;8309;8362;8484;8145;7910;8251;8451;8305;8627;8355;8507;8484;8718;8716;9021;8878;8490;8266;7764;7439;6852
Thuringen;total;28780;17470;14615;13307;12721;13788;15265;16475;16607;16926;17577;17351;17007;16911;17310;16713;16402;17176;17332;16854;17527;17073;17342;17426;17887;17934;18475;18132;17437;16647;15991;15377;14132
