Year;Land;Male;Female;Total
2000;Baden-Wurttemberg;5157408;5367007;10524415
2000;Bayern;5974283;6255972;12230255
2000;Berlin;1643534;1738635;3382169
2000;Brandenburg;1283432;1318530;2601962
2000;Bremen;318267;341958;660225
2000;Hamburg;831225;884167;1715392
2000;Hessen;2973492;3094637;6068129
2000;Mecklenburg-Vorpommern;877698;898005;1775703
2000;Niedersachsen;3875996;4050197;7926193
2000;Nordrhein-Westfalen;8756656;9253209;18009865
2000;Rheinland-Pfalz;1976814;2057743;4034557
2000;Saarland;518228;550475;1068703
2000;Sachsen;2144676;2280905;4425581
2000;Sachsen-Anhalt;1271259;1344116;2615375
2000;Schleswig-Holstein;1363617;1426144;2789761
2000;Thuringen;1189951;1241304;2431255
2001;Baden-Wurttemberg;5198056;5402850;10600906
2001;Bayern;6029762;6299952;12329714
2001;Berlin;1648169;1740265;3388434
2001;Brandenburg;1280492;1312548;2593040
2001;Bremen;318387;341264;659651
2001;Hamburg;837726;888637;1726363
2001;Hessen;2977832;3099994;6077826
2001;Mecklenburg-Vorpommern;870229;889648;1759877
2001;Niedersachsen;3893308;4063108;7956416
2001;Nordrhein-Westfalen;8782352;9269740;18052092
2001;Rheinland-Pfalz;1985677;2063389;4049066
2001;Saarland;517432;549038;1066470
2001;Sachsen;2126723;2257469;4384192
2001;Sachsen-Anhalt;1255728;1324898;2580626
2001;Schleswig-Holstein;1370626;1433623;2804249
2001;Thuringen;1182177;1229210;2411387
2002;Baden-Wurttemberg;5230234;5431086;10661320
2002;Bayern;6060688;6326663;12387351
2002;Berlin;1651471;1740954;3392425
2002;Brandenburg;1276145;1306234;2582379
2002;Bremen;319940;342158;662098
2002;Hamburg;839006;889800;1728806
2002;Hessen;2984565;3107053;6091618
2002;Mecklenburg-Vorpommern;863859;880765;1744624
2002;Niedersachsen;3906956;4073516;7980472
2002;Nordrhein-Westfalen;8798673;9277682;18076355
2002;Rheinland-Pfalz;1991331;2066396;4057727
2002;Saarland;517101;547887;1064988
2002;Sachsen;2112497;2236562;4349059
2002;Sachsen-Anhalt;1241832;1307079;2548911
2002;Schleswig-Holstein;1376370;1440137;2816507
2002;Thuringen;1174211;1217829;2392040
2003;Baden-Wurttemberg;5247284;5445272;10692556
2003;Bayern;6079009;6344377;12423386
2003;Berlin;1651203;1737274;3388477
2003;Brandenburg;1272998;1301523;2574521
2003;Bremen;320815;342314;663129
2003;Hamburg;842587;891496;1734083
2003;Hessen;2981511;3107917;6089428
2003;Mecklenburg-Vorpommern;858249;873977;1732226
2003;Niedersachsen;3915213;4078202;7993415
2003;Nordrhein-Westfalen;8803118;9276568;18079686
2003;Rheinland-Pfalz;1989127;2069555;4058682
2003;Saarland;515641;545735;1061376
2003;Sachsen;2102768;2218669;4321437
2003;Sachsen-Anhalt;1230521;1292420;2522941
2003;Schleswig-Holstein;1379707;1443464;2823171
2003;Thuringen;1166263;1206894;2373157
2004;Baden-Wurttemberg;5260183;5457236;10717419
2004;Bayern;6088805;6355088;12443893
2004;Berlin;1653057;1734771;3387828
2004;Brandenburg;1270347;1297357;2567704
2004;Bremen;321206;342007;663213
2004;Hamburg;843580;891250;1734830
2004;Hessen;2986543;3111222;6097765
2004;Mecklenburg-Vorpommern;852143;867510;1719653
2004;Niedersachsen;3919375;4081534;8000909
2004;Nordrhein-Westfalen;8803255;9272097;18075352
2004;Rheinland-Pfalz;1991975;2069130;4061105
2004;Saarland;513460;542957;1056417
2004;Sachsen;2091821;2204463;4296284
2004;Sachsen-Anhalt;1216890;1277547;2494437
2004;Schleswig-Holstein;1382531;1446229;2828760
2004;Thuringen;1158456;1196824;2355280
2005;Baden-Wurttemberg;5270906;5464795;10735701
2005;Bayern;6102655;6366071;12468726
2005;Berlin;1659643;1735546;3395189
2005;Brandenburg;1266932;1292551;2559483
2005;Bremen;321478;341989;663467
2005;Hamburg;849467;894160;1743627
2005;Hessen;2983150;3109204;6092354
2005;Mecklenburg-Vorpommern;846217;861049;1707266
2005;Niedersachsen;3917958;4075988;7993946
2005;Nordrhein-Westfalen;8797188;9260917;18058105
2005;Rheinland-Pfalz;1990248;2068595;4058843
2005;Saarland;510359;539934;1050293
2005;Sachsen;2083240;2190514;4273754
2005;Sachsen-Anhalt;1205720;1263996;2469716
2005;Schleswig-Holstein;1385285;1447665;2832950
2005;Thuringen;1149515;1185060;2334575
2006;Baden-Wurttemberg;5273842;5464911;10738753
2006;Bayern;6118977;6373681;12492658
2006;Berlin;1665753;1738284;3404037
2006;Brandenburg;1261650;1286122;2547772
2006;Bremen;322303;341676;663979
2006;Hamburg;856132;898050;1754182
2006;Hessen;2973004;3102355;6075359
2006;Mecklenburg-Vorpommern;839553;854201;1693754
2006;Niedersachsen;3914785;4067900;7982685
2006;Nordrhein-Westfalen;8787345;9241400;18028745
2006;Rheinland-Pfalz;1987553;2065307;4052860
2006;Saarland;507220;535947;1043167
2006;Sachsen;2073755;2176019;4249774
2006;Sachsen-Anhalt;1193473;1248314;2441787
2006;Schleswig-Holstein;1386770;1447484;2834254
2006;Thuringen;1139051;1172089;2311140
2007;Baden-Wurttemberg;5282789;5466966;10749755
2007;Bayern;6136397;6383935;12520332
2007;Berlin;1672226;1744029;3416255
2007;Brandenburg;1255982;1279755;2535737
2007;Bremen;321904;341178;663082
2007;Hamburg;865859;904770;1770629
2007;Hessen;2972646;3099909;6072555
2007;Mecklenburg-Vorpommern;832745;846937;1679682
2007;Niedersachsen;3911545;4060139;7971684
2007;Nordrhein-Westfalen;8774797;9221824;17996621
2007;Rheinland-Pfalz;1984688;2060955;4045643
2007;Saarland;504079;532519;1036598
2007;Sachsen;2060804;2159396;4220200
2007;Sachsen-Anhalt;1179952;1232520;2412472
2007;Schleswig-Holstein;1388938;1448435;2837373
2007;Thuringen;1128941;1160278;2289219
2008;Baden-Wurttemberg;5285894;5463612;10749506
2008;Bayern;6138101;6381627;12519728
2008;Berlin;1680502;1751173;3431675
2008;Brandenburg;1249312;1273181;2522493
2008;Bremen;321814;340052;661866
2008;Hamburg;865921;906179;1772100
2008;Hessen;2970447;3094506;6064953
2008;Mecklenburg-Vorpommern;825124;839232;1664356
2008;Niedersachsen;3901052;4046192;7947244
2008;Nordrhein-Westfalen;8746419;9186645;17933064
2008;Rheinland-Pfalz;1977031;2051320;4028351
2008;Saarland;501185;529139;1030324
2008;Sachsen;2049173;2143628;4192801
2008;Sachsen-Anhalt;1165683;1216189;2381872
2008;Schleswig-Holstein;1387798;1446462;2834260
2008;Thuringen;1118827;1148936;2267763
2009;Baden-Wurttemberg;5285946;5458975;10744921
2009;Bayern;6136004;6374327;12510331
2009;Berlin;1686256;1756419;3442675
2009;Brandenburg;1244101;1267424;2511525
2009;Bremen;322227;339489;661716
2009;Hamburg;866623;907601;1774224
2009;Hessen;2970776;3091175;6061951
2009;Mecklenburg-Vorpommern;818119;833097;1651216
2009;Niedersachsen;3894627;4034188;7928815
2009;Nordrhein-Westfalen;8719694;9153069;17872763
2009;Rheinland-Pfalz;1970665;2042010;4012675
2009;Saarland;497605;524980;1022585
2009;Sachsen;2039451;2129281;4168732
2009;Sachsen-Anhalt;1153749;1202470;2356219
2009;Schleswig-Holstein;1387049;1444978;2832027
2009;Thuringen;1110714;1139168;2249882
2010;Baden-Wurttemberg;5296249;5457631;10753880
2010;Bayern;6158439;6380257;12538696
2010;Berlin;1695438;1765287;3460725
2010;Brandenburg;1240553;1262720;2503273
2010;Bremen;321940;338766;660706
2010;Hamburg;873712;912736;1786448
2010;Hessen;2976527;3090494;6067021
2010;Mecklenburg-Vorpommern;813283;829044;1642327
2010;Niedersachsen;3893761;4024532;7918293
2010;Nordrhein-Westfalen;8711858;9133296;17845154
2010;Rheinland-Pfalz;1967106;2036639;4003745
2010;Saarland;495206;522361;1017567
2010;Sachsen;2031630;2117847;4149477
2010;Sachsen-Anhalt;1144118;1190888;2335006
2010;Schleswig-Holstein;1388912;1445347;2834259
2010;Thuringen;1103693;1131332;2235025
2011;Baden-Wurttemberg;5151354;5361087;10512441
2011;Bayern;6093411;6349961;12443372
2011;Berlin;1617768;1708234;3326002
2011;Brandenburg;1207189;1245991;2453180
2011;Bremen;317060;335122;652182
2011;Hamburg;832064;886123;1718187
2011;Hessen;2927628;3066143;5993771
2011;Mecklenburg-Vorpommern;791635;815264;1606899
2011;Niedersachsen;3803884;3970369;7774253
2011;Nordrhein-Westfalen;8525378;9019560;17544938
2011;Rheinland-Pfalz;1951624;2038409;3990033
2011;Saarland;484604;513251;997855
2011;Sachsen;1978178;2076004;4054182
2011;Sachsen-Anhalt;1112710;1164026;2276736
2011;Schleswig-Holstein;1362391;1439875;2802266
2011;Thuringen;1073069;1108534;2181603
2012;Baden-Wurttemberg;5189475;5379636;10569111
2012;Bayern;6143980;6375591;12519571
2012;Berlin;1644451;1730771;3375222
2012;Brandenburg;1205360;1244151;2449511
2012;Bremen;319065;335709;654774
2012;Hamburg;841246;893026;1734272
2012;Hessen;2943034;3073447;6016481
2012;Mecklenburg-Vorpommern;788104;812223;1600327
2012;Niedersachsen;3811002;3967993;7778995
2012;Nordrhein-Westfalen;8540059;9014270;17554329
2012;Rheinland-Pfalz;1954161;2036117;3990278
2012;Saarland;483558;510729;994287
2012;Sachsen;1978504;2071700;4050204
2012;Sachsen-Anhalt;1104896;1154497;2259393
2012;Schleswig-Holstein;1365954;1440577;2806531
2012;Thuringen;1068127;1102333;2170460
2013;Baden-Wurttemberg;5230706;5400572;10631278
2013;Bayern;6197151;6407093;12604244
2013;Berlin;1669791;1752038;3421829
2013;Brandenburg;1205440;1243753;2449193
2013;Bremen;321188;336203;657391
2013;Hamburg;847946;898396;1746342
2013;Hessen;2962599;3082826;6045425
2013;Mecklenburg-Vorpommern;786331;810174;1596505
2013;Niedersachsen;3821877;3968682;7790559
2013;Nordrhein-Westfalen;8558968;9012888;17571856
2013;Rheinland-Pfalz;1958977;2035389;3994366
2013;Saarland;482434;508284;990718
2013;Sachsen;1979164;2067221;4046385
2013;Sachsen-Anhalt;1098633;1145944;2244577
2013;Schleswig-Holstein;1372031;1443924;2815955
2013;Thuringen;1063687;1097153;2160840
2014;Baden-Wurttemberg;5284223;5432421;10716644
2014;Bayern;6249965;6441603;12691568
2014;Berlin;1696218;1773631;3469849
2014;Brandenburg;1210474;1247398;2457872
2014;Bremen;324423;337465;661888
2014;Hamburg;857446;905345;1762791
2014;Hessen;2991752;3102136;6093888
2014;Mecklenburg-Vorpommern;787945;811193;1599138
2014;Niedersachsen;3846089;3980650;7826739
2014;Nordrhein-Westfalen;8606003;9032095;17638098
2014;Rheinland-Pfalz;1970535;2041047;4011582
2014;Saarland;482599;506436;989035
2014;Sachsen;1987607;2067667;4055274
2014;Sachsen-Anhalt;1095797;1139751;2235548
2014;Schleswig-Holstein;1381451;1449413;2830864
2014;Thuringen;1062930;1093829;2156759
2015;Baden-Wurttemberg;5393388;5486230;10879618
2015;Bayern;6352172;6491342;12843514
2015;Berlin;1726533;1793498;3520031
2015;Brandenburg;1228283;1256543;2484826
2015;Bremen;330895;340594;671489
2015;Hamburg;873062;914346;1787408
2015;Hessen;3047730;3128442;6176172
2015;Mecklenburg-Vorpommern;797832;814530;1612362
2015;Niedersachsen;3915398;4011201;7926599
2015;Nordrhein-Westfalen;8768019;9097497;17865516
2015;Rheinland-Pfalz;1999333;2053470;4052803
2015;Saarland;488631;506966;995597
2015;Sachsen;2011561;2073290;4084851
2015;Sachsen-Anhalt;1106689;1138781;2245470
2015;Schleswig-Holstein;1399458;1459256;2858714
2015;Thuringen;1075139;1095575;2170714
2016;Baden-Wurttemberg;5435665;5516228;10951893
2016;Bayern;6400820;6529931;12930751
2016;Berlin;1755700;1819130;3574830
2016;Brandenburg;1231683;1262965;2494648
2016;Bremen;335474;343279;678753
2016;Hamburg;886289;924149;1810438
2016;Hessen;3066957;3146131;6213088
2016;Mecklenburg-Vorpommern;795467;815207;1610674
2016;Niedersachsen;3923396;4022289;7945685
2016;Nordrhein-Westfalen;8776760;9113340;17890100
2016;Rheinland-Pfalz;2006503;2059550;4066053
2016;Saarland;489416;507235;996651
2016;Sachsen;2009991;2071792;4081783
2016;Sachsen-Anhalt;1102454;1133798;2236252
2016;Schleswig-Holstein;1412665;1469261;2881926
2016;Thuringen;1067878;1090250;2158128
2017;Baden-Wurttemberg;5477341;5546084;11023425
2017;Bayern;6438503;6558701;12997204
2017;Berlin;1776267;1837228;3613495
2017;Brandenburg;1235971;1268069;2504040
2017;Bremen;336665;344367;681032
2017;Hamburg;897207;933377;1830584
2017;Hessen;3081636;3161626;6243262
2017;Mecklenburg-Vorpommern;794873;816246;1611119
2017;Niedersachsen;3931876;4030899;7962775
2017;Nordrhein-Westfalen;8787579;9124555;17912134
2017;Rheinland-Pfalz;2011123;2062556;4073679
2017;Saarland;487895;506292;994187
2017;Sachsen;2010214;2071094;4081308
2017;Sachsen-Anhalt;1094876;1128205;2223081
2017;Schleswig-Holstein;1416535;1473286;2889821
2017;Thuringen;1065004;1086201;2151205
2018;Baden-Wurttemberg;5501693;5567840;11069533
2018;Bayern;6483793;6592928;13076721
2018;Berlin;1792801;1852025;3644826
2018;Brandenburg;1239460;1272457;2511917
2018;Bremen;338035;344951;682986
2018;Hamburg;902048;939131;1841179
2018;Hessen;3093044;3172765;6265809
2018;Mecklenburg-Vorpommern;793639;816036;1609675
2018;Niedersachsen;3943243;4039205;7982448
2018;Nordrhein-Westfalen;8798631;9134020;17932651
2018;Rheinland-Pfalz;2017576;2067268;4084844
2018;Saarland;486159;504350;990509
2018;Sachsen;2009619;2068318;4077937
2018;Sachsen-Anhalt;1086679;1121642;2208321
2018;Schleswig-Holstein;1419457;1477255;2896712
2018;Thuringen;1060814;1082331;2143145
2019;Baden-Wurttemberg;5516440;5583954;11100394
2019;Bayern;6507691;6617046;13124737
2019;Berlin;1804273;1865218;3669491
2019;Brandenburg;1243931;1277962;2521893
2019;Bremen;337001;344201;681202
2019;Hamburg;903974;943279;1847253
2019;Hessen;3105260;3182820;6288080
2019;Mecklenburg-Vorpommern;792612;815526;1608138
2019;Niedersachsen;3947571;4046037;7993608
2019;Nordrhein-Westfalen;8805974;9141247;17947221
2019;Rheinland-Pfalz;2023004;2070899;4093903
2019;Saarland;484419;502468;986887
2019;Sachsen;2006722;2065249;4071971
2019;Sachsen-Anhalt;1079862;1114920;2194782
2019;Schleswig-Holstein;1422883;1480890;2903773
2019;Thuringen;1055996;1077382;2133378
2020;Baden-Wurttemberg;5516636;5586407;11103043
2020;Bayern;6512595;6627588;13140183
2020;Berlin;1802038;1862050;3664088
2020;Brandenburg;1248050;1283021;2531071
2020;Bremen;336390;343740;680130
2020;Hamburg;906933;945545;1852478
2020;Hessen;3108408;3184746;6293154
2020;Mecklenburg-Vorpommern;793537;817237;1610774
2020;Niedersachsen;3951456;4051965;8003421
2020;Nordrhein-Westfalen;8794888;9130682;17925570
2020;Rheinland-Pfalz;2026105;2072286;4098391
2020;Saarland;483001;500990;983991
2020;Sachsen;1999026;2057915;4056941
2020;Sachsen-Anhalt;1072595;1108089;2180684
2020;Schleswig-Holstein;1425649;1485226;2910875
2020;Thuringen;1049212;1071025;2120237
2021;Baden-Wurttemberg;5526110;5598532;11124642
2021;Bayern;6532222;6644767;13176989
2021;Berlin;1807826;1869646;3677472
2021;Brandenburg;1250325;1287543;2537868
2021;Bremen;334319;342144;676463
2021;Hamburg;907682;946253;1853935
2021;Hessen;3108589;3186428;6295017
2021;Mecklenburg-Vorpommern;793443;817717;1611160
2021;Niedersachsen;3962947;4064084;8027031
2021;Nordrhein-Westfalen;8795533;9129058;17924591
2021;Rheinland-Pfalz;2030323;2076162;4106485
2021;Saarland;482439;499909;982348
2021;Sachsen;1992884;2050118;4043002
2021;Sachsen-Anhalt;1067143;1102110;2169253
2021;Schleswig-Holstein;1431064;1490941;2922005
2021;Thuringen;1043936;1064927;2108863
2022;Baden-Wurttemberg;5595424;5684833;11280257
2022;Bayern;6620203;6749190;13369393
2022;Berlin;1843196;1912055;3755251
2022;Brandenburg;1265151;1307984;2573135
2022;Bremen;338233;346631;684864
2022;Hamburg;925616;966506;1892122
2022;Hessen;3151158;3240202;6391360
2022;Mecklenburg-Vorpommern;799695;828683;1628378
2022;Niedersachsen;4009822;4130420;8140242
2022;Nordrhein-Westfalen;8890200;9248916;18139116
2022;Rheinland-Pfalz;2054254;2104896;4159150
2022;Saarland;487101;505565;992666
2022;Sachsen;2010537;2075615;4086152
2022;Sachsen-Anhalt;1073711;1112932;2186643
2022;Schleswig-Holstein;1443269;1510001;2953270
2022;Thuringen;1051482;1075364;2126846
